invoice_id,description,amount_usdc,status,freelancer_address,client_address,created_at_utc,paid_at_utc,freelancer_explorer,client_explorer,contract_explorer
1,web app,150.00,Pending,GB46MTG7PRGNB2GUBEVIVJKBVO7J5K5RY5ZLEBKJKTBBAOY3S6DV2BST,GDT2OWEOEDG6ANNJ4LIO53JSIRTFWLRYKY4PJ6NIU3HI23YINHVYUSQA,2026-07-20 22:49:38 UTC,,https://stellar.expert/explorer/testnet/account/GB46MTG7PRGNB2GUBEVIVJKBVO7J5K5RY5ZLEBKJKTBBAOY3S6DV2BST,https://stellar.expert/explorer/testnet/account/GDT2OWEOEDG6ANNJ4LIO53JSIRTFWLRYKY4PJ6NIU3HI23YINHVYUSQA,https://stellar.expert/explorer/testnet/contract/CAQVSBNVL7OI66IDTYCR7XL4VJKMSOYGBW5D6SWLTWTINTCQO2OGCSXS
2,web app,150.00,Pending,GB46MTG7PRGNB2GUBEVIVJKBVO7J5K5RY5ZLEBKJKTBBAOY3S6DV2BST,GDT2OWEOEDG6ANNJ4LIO53JSIRTFWLRYKY4PJ6NIU3HI23YINHVYUSQA,2026-07-20 23:03:30 UTC,,https://stellar.expert/explorer/testnet/account/GB46MTG7PRGNB2GUBEVIVJKBVO7J5K5RY5ZLEBKJKTBBAOY3S6DV2BST,https://stellar.expert/explorer/testnet/account/GDT2OWEOEDG6ANNJ4LIO53JSIRTFWLRYKY4PJ6NIU3HI23YINHVYUSQA,https://stellar.expert/explorer/testnet/contract/CAQVSBNVL7OI66IDTYCR7XL4VJKMSOYGBW5D6SWLTWTINTCQO2OGCSXS
3,web app,100.00,Pending,GDT2OWEOEDG6ANNJ4LIO53JSIRTFWLRYKY4PJ6NIU3HI23YINHVYUSQA,GB46MTG7PRGNB2GUBEVIVJKBVO7J5K5RY5ZLEBKJKTBBAOY3S6DV2BST,2026-07-20 23:43:34 UTC,,https://stellar.expert/explorer/testnet/account/GDT2OWEOEDG6ANNJ4LIO53JSIRTFWLRYKY4PJ6NIU3HI23YINHVYUSQA,https://stellar.expert/explorer/testnet/account/GB46MTG7PRGNB2GUBEVIVJKBVO7J5K5RY5ZLEBKJKTBBAOY3S6DV2BST,https://stellar.expert/explorer/testnet/contract/CAQVSBNVL7OI66IDTYCR7XL4VJKMSOYGBW5D6SWLTWTINTCQO2OGCSXS
4,web app,100.00,Paid,GB46MTG7PRGNB2GUBEVIVJKBVO7J5K5RY5ZLEBKJKTBBAOY3S6DV2BST,GDT2OWEOEDG6ANNJ4LIO53JSIRTFWLRYKY4PJ6NIU3HI23YINHVYUSQA,2026-07-20 23:52:35 UTC,2026-07-20 23:53:25 UTC,https://stellar.expert/explorer/testnet/account/GB46MTG7PRGNB2GUBEVIVJKBVO7J5K5RY5ZLEBKJKTBBAOY3S6DV2BST,https://stellar.expert/explorer/testnet/account/GDT2OWEOEDG6ANNJ4LIO53JSIRTFWLRYKY4PJ6NIU3HI23YINHVYUSQA,https://stellar.expert/explorer/testnet/contract/CAQVSBNVL7OI66IDTYCR7XL4VJKMSOYGBW5D6SWLTWTINTCQO2OGCSXS
5,web app,100.00,Pending,GDT2OWEOEDG6ANNJ4LIO53JSIRTFWLRYKY4PJ6NIU3HI23YINHVYUSQA,GB46MTG7PRGNB2GUBEVIVJKBVO7J5K5RY5ZLEBKJKTBBAOY3S6DV2BST,2026-07-21 21:41:57 UTC,,https://stellar.expert/explorer/testnet/account/GDT2OWEOEDG6ANNJ4LIO53JSIRTFWLRYKY4PJ6NIU3HI23YINHVYUSQA,https://stellar.expert/explorer/testnet/account/GB46MTG7PRGNB2GUBEVIVJKBVO7J5K5RY5ZLEBKJKTBBAOY3S6DV2BST,https://stellar.expert/explorer/testnet/contract/CAQVSBNVL7OI66IDTYCR7XL4VJKMSOYGBW5D6SWLTWTINTCQO2OGCSXS
6,web app,100.00,Paid,GDT2OWEOEDG6ANNJ4LIO53JSIRTFWLRYKY4PJ6NIU3HI23YINHVYUSQA,GB46MTG7PRGNB2GUBEVIVJKBVO7J5K5RY5ZLEBKJKTBBAOY3S6DV2BST,2026-07-21 21:45:43 UTC,2026-07-21 21:46:28 UTC,https://stellar.expert/explorer/testnet/account/GDT2OWEOEDG6ANNJ4LIO53JSIRTFWLRYKY4PJ6NIU3HI23YINHVYUSQA,https://stellar.expert/explorer/testnet/account/GB46MTG7PRGNB2GUBEVIVJKBVO7J5K5RY5ZLEBKJKTBBAOY3S6DV2BST,https://stellar.expert/explorer/testnet/contract/CAQVSBNVL7OI66IDTYCR7XL4VJKMSOYGBW5D6SWLTWTINTCQO2OGCSXS
7,web app,200.00,Pending,GAQFJAW7NXQHGHUM7XHZIWPCU7UVPSDRJW7LWU5IW3GQJMPYVKJM7SJY,GA45OA72TCW5XPSTWPQ357HT6V54B2WPMHNA255OIV7EY65EX7LJQ77G,2026-07-21 22:14:51 UTC,,https://stellar.expert/explorer/testnet/account/GAQFJAW7NXQHGHUM7XHZIWPCU7UVPSDRJW7LWU5IW3GQJMPYVKJM7SJY,https://stellar.expert/explorer/testnet/account/GA45OA72TCW5XPSTWPQ357HT6V54B2WPMHNA255OIV7EY65EX7LJQ77G,https://stellar.expert/explorer/testnet/contract/CAQVSBNVL7OI66IDTYCR7XL4VJKMSOYGBW5D6SWLTWTINTCQO2OGCSXS
8,Event Ticketting,100.00,Pending,GDTZLLNX2URFAQTZ4WTPBQXP7DDNGAVJKRFPZO327LSKDSILRRFLLQZR,GAVV5LZDV6GITWR54DFJ6X73MXSSOL5XRNOASGCNTVODYTM3J5M6JTCY,2026-07-22 03:20:59 UTC,,https://stellar.expert/explorer/testnet/account/GDTZLLNX2URFAQTZ4WTPBQXP7DDNGAVJKRFPZO327LSKDSILRRFLLQZR,https://stellar.expert/explorer/testnet/account/GAVV5LZDV6GITWR54DFJ6X73MXSSOL5XRNOASGCNTVODYTM3J5M6JTCY,https://stellar.expert/explorer/testnet/contract/CAQVSBNVL7OI66IDTYCR7XL4VJKMSOYGBW5D6SWLTWTINTCQO2OGCSXS
9,web app,100.00,Paid,GA45OA72TCW5XPSTWPQ357HT6V54B2WPMHNA255OIV7EY65EX7LJQ77G,GAWLDPZ6MWOZPL6IVIPQPVNOZC6RFFCO46FN7BCANJHUHEEPIJ7BGYQ3,2026-07-22 14:20:36 UTC,2026-07-22 14:21:26 UTC,https://stellar.expert/explorer/testnet/account/GA45OA72TCW5XPSTWPQ357HT6V54B2WPMHNA255OIV7EY65EX7LJQ77G,https://stellar.expert/explorer/testnet/account/GAWLDPZ6MWOZPL6IVIPQPVNOZC6RFFCO46FN7BCANJHUHEEPIJ7BGYQ3,https://stellar.expert/explorer/testnet/contract/CAQVSBNVL7OI66IDTYCR7XL4VJKMSOYGBW5D6SWLTWTINTCQO2OGCSXS
10,web designn,10.00,Pending,GCCBRPL6IKPWUI77S53OYSZZP6ZML6RB5CLOQ57VKUE7TUYTH4QT5DLU,GCEUXGIJHHRUWJN64ANA2FFCLQSB34WF45NKJSW53DKMW3MOFVSBBO7S,2026-07-22 14:22:57 UTC,,https://stellar.expert/explorer/testnet/account/GCCBRPL6IKPWUI77S53OYSZZP6ZML6RB5CLOQ57VKUE7TUYTH4QT5DLU,https://stellar.expert/explorer/testnet/account/GCEUXGIJHHRUWJN64ANA2FFCLQSB34WF45NKJSW53DKMW3MOFVSBBO7S,https://stellar.expert/explorer/testnet/contract/CAQVSBNVL7OI66IDTYCR7XL4VJKMSOYGBW5D6SWLTWTINTCQO2OGCSXS
